# timestamps [seconds],pts
750447.605968,451217
750447.624525,452434
750447.642879,453636
750447.653329,454321
750447.673083,455616
750447.691378,456815
750447.710200,458048
750447.729848,459336
750447.737509,459838
750447.753417,460880
750447.773589,462202
750447.792138,463418
750447.810119,464596
750447.820914,465304
750447.837294,466377
750447.857032,467671
750447.875175,468860
750447.895815,470213
750447.911257,471225
750447.921117,471871
750447.940880,473166
750447.958253,474304
750447.978108,475606
750447.994786,476699
750448.004989,477367
750448.021175,478428
750448.041054,479731
750448.084315,482566
750448.109506,484217
750448.128103,485436
750448.145460,486573
750448.164139,487797
750448.182872,489025
750448.201684,490258
750448.221789,491575
750448.239814,492757
750448.257665,493926
750448.274958,495060
750448.288920,495975
750448.309600,497330
750448.328756,498585
750448.345722,499697
750448.357084,500442
750448.372986,501484
750448.393048,502799
750448.409186,503856
750448.424996,504892
750448.441162,505952
750448.458304,507075
750448.476973,508299
750448.493644,509391
750448.512275,510612
750448.530017,511775
750448.547595,512927
750448.567174,514210
750448.586956,515506
750448.605040,516692
750448.623772,517919
750448.643191,519192
750448.662998,520490
750448.682696,521781
750448.700271,522933
750448.719064,524164
750448.735232,525224
750448.752578,526360
750448.761322,526934
750448.777539,527996
750448.794384,529100
750448.809163,530069
750448.829069,531373
750448.845776,532468
750448.863336,533619
750448.877104,534521
750448.893153,535573
750448.909044,536614
750448.929017,537923
750448.947248,539118
750448.961155,540030
750448.977630,541109
750448.994207,542196
750449.013090,543433
750449.030872,544598
750449.047106,545662
750449.061096,546579
750449.077148,547631
750449.097509,548966
750449.113157,549991
750449.129427,551057
750449.144996,552078
750449.161379,553151
750449.181071,554442
750449.197448,555515
750449.216518,556765
750449.234432,557939
750449.245262,558649
750449.261526,559714
750449.280978,560989
750449.298298,562124
750449.314078,563158
750449.330237,564217
750449.345140,565194
750449.365578,566533
750449.382087,567615
750449.398655,568701
750449.413158,569652
750449.450814,572119
750449.464941,573045
750449.481286,574116
750449.497612,575186
750449.515192,576338
750449.529035,577246
750449.549073,578559
750449.566227,579683
750449.581116,580659
750449.598086,581771
750449.613125,582756
750449.633548,584095
750449.651604,585278
750449.669652,586461
750449.689660,587772
750449.710587,589144
750449.731055,590485
750449.750815,591780
750449.769419,592999
750449.787020,594153
750449.797582,594845
750449.817370,596142
750449.833018,597167
750449.849723,598262
750449.865236,599279
750449.881538,600347
750449.901441,601651
750449.919095,602808
750449.936433,603944
