# timestamps [seconds],pts
753219.668886,758979
753219.685360,760059
753219.706650,761454
753219.727784,762839
753219.749571,764267
753219.761976,765080
753219.766888,765402
753219.782591,766431
753219.798076,767445
753219.818365,768775
753219.834237,769815
753219.853496,771077
753219.866070,771901
753219.886801,773260
753219.908119,774657
753219.930725,776139
753219.941203,776825
753219.958923,777987
753219.983006,779565
753220.006625,781113
753220.031504,782743
753220.054393,784243
753220.066350,785027
753220.085897,786308
753220.110675,787932
753220.130520,789232
753220.153835,790760
753220.177296,792298
753220.200988,793850
753220.226788,795541
753220.251298,797147
753220.273357,798593
753220.286111,799429
753220.306542,800768
753220.329646,802282
753220.354451,803907
753220.378783,805502
753220.399403,806853
753220.408781,807468
753220.418121,808080
753220.438346,809406
753220.462301,810975
753220.486966,812592
753220.507503,813938
753220.522105,814895
753220.540410,816094
753220.554319,817006
753220.571287,818118
753220.596306,819757
753220.618939,821241
753220.629177,821912
753220.645207,822962
753220.664971,824257
753220.676527,825015
753220.694666,826203
753220.717306,827687
753220.729578,828491
753220.744305,829457
753220.757049,830292
753220.775062,831472
753220.829003,835007
753220.864323,837322
753220.884387,838637
753220.904836,839977
753220.915967,840706
753220.932387,841782
753220.952986,843132
753220.973393,844470
753220.996021,845953
753221.016425,847290
753221.035781,848558
753221.054509,849786
753221.072045,850935
753221.092499,852275
753221.114420,853712
753221.135157,855071
753221.154549,856342
753221.174865,857673
753221.194673,858971
753221.213541,860208
753221.233311,861504
753221.254736,862908
753221.275771,864286
753221.296675,865656
753221.321328,867272
753221.340879,868553
753221.361325,869893
753221.383886,871371
753221.403564,872661
753221.424250,874017
753221.450384,875729
753221.470905,877074
753221.491233,878406
753221.512435,879796
753221.538264,881489
753221.558486,882814
753221.580496,884256
753221.601672,885644
753221.623368,887066
753221.645541,888519
753221.672168,890264
753221.695744,891809
753221.717479,893233
753221.740211,894723
753221.758081,895894
753221.779995,897330
753221.803846,898894
753221.822707,900130
753221.842550,901430
753221.862626,902746
753221.881651,903993
753221.904193,905470
753221.924260,906785
753221.944480,908110
753221.967006,909586
753221.986419,910858
753222.009186,912351
753222.031144,913790
753222.049523,914994
753222.068425,916233
753222.090223,917661
753222.110475,918988
753222.133225,920479
753222.151251,921661
753222.188473,924100
753222.214132,925782
753222.235058,927153
753222.246205,927884
753222.263864,929041
753222.283162,930306
753222.302252,931557
753222.322590,932889
753222.343072,934232
753222.365056,935672
753222.383730,936896
753222.404427,938253
753222.425520,939635
753222.448733,941156
753222.471150,942625
753222.494894,944181
753222.517040,945633
753222.536912,946935
753222.558300,948337
753222.582475,949921
753222.607301,951548
753222.632566,953204
753222.655869,954731
753222.676967,956114
753222.698570,957529
753222.723026,959132
753222.748896,960827
753222.768740,962128
753222.791044,963590
753222.816088,965231
753222.836592,966575
753222.857281,967930
753222.880001,969419
753222.903614,970967
753222.925215,972382
753222.948740,973924
753222.973019,975515
753222.996562,977058
753223.017599,978437
753223.027854,979109
753223.034196,979525
753223.050788,980612
753223.066238,981624
753223.082394,982683
753223.104222,984114
753223.118193,985029
753223.139262,986410
753223.161190,987847
753223.171282,988508
753223.186188,989485
753223.204305,990673
753223.226986,992159
753223.251679,993777
753223.273931,995236
753223.294852,996607
753223.316370,998017
753223.339785,999551
753223.359650,1000853
753223.381602,1002292
753223.404570,1003797
753223.427077,1005272
753223.448563,1006680
753223.461920,1007555
753223.470250,1008101
753223.491469,1009492
753223.511482,1010803
753223.535774,1012395
753223.560485,1014015
753223.582342,1015447
753223.602921,1016796
753223.623890,1018170
753223.648247,1019766
753223.666904,1020989
753223.677045,1021654
753223.686282,1022259
753223.704757,1023470
753223.722248,1024616
753223.740128,1025788
753223.754423,1026725
753223.773214,1027956
753223.786305,1028814
753223.807195,1030183
753223.831723,1031790
753223.852078,1033124
753223.873843,1034551
753223.897063,1036073
753223.915558,1037285
753223.925711,1037950
753223.943026,1039085
753223.963627,1040435
753223.974217,1041129
753223.990316,1042184
753224.014593,1043775
753224.035477,1045143
753224.055155,1046433
753224.074384,1047693
753224.095140,1049054
753224.117253,1050503
753224.139065,1051932
753224.160885,1053362
753224.183262,1054829
753224.192428,1055429
753224.207512,1056418
753224.222453,1057397
753224.242006,1058678
753224.266779,1060302
753224.287865,1061684
753224.298190,1062360
753224.306519,1062906
753224.322778,1063972
753224.342433,1065260
753224.362836,1066597
753224.384270,1068002
753224.402978,1069228
753224.423696,1070585
753224.446505,1072080
753224.458333,1072855
753224.475763,1073998
753224.496741,1075372
753224.516035,1076637
753224.535341,1077902
753224.556114,1079263
753224.568888,1080101
753224.574581,1080474
753224.590357,1081508
753224.610359,1082818
753224.629738,1084088
753224.642555,1084928
753224.661992,1086202
753224.683521,1087613
753224.694752,1088349
753224.711405,1089440
753224.733229,1090871
753224.752998,1092166
753224.774851,1093598
753224.796329,1095006
753224.810396,1095928
753224.828514,1097115
753224.850679,1098568
753224.873720,1100078
753224.925074,1103443
753224.958522,1105635
753224.981546,1107144
753225.003577,1108588
753225.024773,1109977
753225.049894,1111623
753225.070256,1112958
753225.092101,1114389
753225.115089,1115896
753225.136181,1117278
753225.159713,1118820
753225.179646,1120127
753225.198857,1121386
753225.218594,1122679
753225.241482,1124179
753225.262470,1125554
753225.285559,1127068
