progresso_pct,steering_medio,steering_sigma,acel_medio,acel_sigma,freio_medio,freio_sigma,pupila_medio,pupila_sigma
11.411411411411413,-14.779914080756717,2.8799594133114734,100.0,0.0,0.0,0.0,40.72803210543914,5.298337704854223
11.511511511511513,-15.40457578830526,3.538902204804836,100.0,0.0,0.0,0.0,40.50442118245359,5.326247128116538
11.611611611611613,-13.457280575856785,0.804304429982684,100.0,0.0,0.0,0.0,40.21472556388169,5.359996946668433
11.711711711711713,-12.631485930076991,2.211137070851697,100.0,0.0,0.0,0.0,39.74198244226597,5.656130856850708
11.811811811811813,-15.813888289235054,1.31008847141237,100.0,0.0,0.0,0.0,39.87796473001925,5.59822964694947
11.911911911911913,-13.862016486632298,4.876417244262785,100.0,0.0,0.0,0.0,39.887974389489614,5.7968990537749585
12.012012012012013,-14.947738698505793,2.9822339462800715,100.0,0.0,0.0,0.0,39.95711187948818,5.749144999653292
12.112112112112113,-16.948813137293197,1.2464473037506927,100.0,0.0,0.0,0.0,39.68714335329892,5.539475631498744
12.212212212212213,-15.134474566830136,4.818787796582679,100.0,0.0,0.0,0.0,39.46982295889439,5.6646893234220395
12.312312312312313,-17.32263538950249,4.241157087792015,100.0,0.0,0.0,0.0,39.46566320654141,5.651382909636802
12.412412412412413,-20.053882318990166,1.9505616116009143,100.0,0.0,0.0,0.0,39.472763352876136,5.595088060404377
12.512512512512513,-16.350381294705326,2.942265305533759,100.0,0.0,0.0,0.0,39.62524363530809,5.6819353814588265
12.612612612612613,-14.843269520610782,4.716136440978874,100.0,0.0,0.0,0.0,39.493880207187765,5.762270471053316
12.712712712712714,-19.17550961141832,3.07363799689184,100.0,0.0,0.0,0.0,39.333748916661655,5.706197098954341
12.812812812812814,-17.239470411871814,6.2478793936966435,100.0,0.0,0.0,0.0,39.26036110446186,5.590034759939913
12.912912912912914,-16.88039935398316,4.711117153359168,100.0,0.0,0.0,0.0,39.13187345059904,5.36100032177699
13.013013013013014,-19.09114581382879,1.433224793102885,100.0,0.0,0.0,0.0,38.91295149341443,5.046604550189612
13.113113113113114,-17.792657174633124,3.1565050448109724,100.0,0.0,0.0,0.0,38.7256287378433,5.225712711698433
