piloto,volta_num,anom_num,tipo,ini_pct,fim_pct,t_ini_volta,t_fim_volta,t_sync_m
Varela,1,2,A,49.04904904904905,49.84984984984985,-143.650004,-0.0100040000000092,143.650004
Varela,1,3,A,53.553553553553556,55.65565565565566,-143.650004,-0.0100040000000092,143.650004
Varela,1,4,A,64.26426426426427,65.56556556556556,-143.650004,-0.0100040000000092,143.650004
Varela,1,5,B,15.715715715715717,17.71771771771772,-143.650004,-0.0100040000000092,143.650004
Varela,1,6,B,25.625625625625627,27.027027027027028,-143.650004,-0.0100040000000092,143.650004
Varela,1,7,B,37.03703703703704,40.74074074074074,-143.650004,-0.0100040000000092,143.650004
Varela,1,8,B,46.74674674674675,48.84884884884885,-143.650004,-0.0100040000000092,143.650004
Varela,1,9,B,58.45845845845846,59.35935935935936,-143.650004,-0.0100040000000092,143.650004
Varela,1,10,B,65.96596596596596,67.46746746746747,-143.650004,-0.0100040000000092,143.650004
Varela,1,11,B,68.56856856856858,75.07507507507508,-143.650004,-0.0100040000000092,143.650004
Varela,1,12,B,89.3893893893894,91.7917917917918,-143.650004,-0.0100040000000092,143.650004
Varela,1,13,C,7.807807807807809,18.11811811811812,-143.650004,-0.0100040000000092,143.650004
Varela,1,14,C,25.325325325325327,28.42842842842843,-143.650004,-0.0100040000000092,143.650004
Varela,1,15,C,30.230230230230234,33.133133133133136,-143.650004,-0.0100040000000092,143.650004
Varela,1,16,C,35.53553553553554,92.4924924924925,-143.650004,-0.0100040000000092,143.650004
Varela,1,17,C,93.7937937937938,96.996996996997,-143.650004,-0.0100040000000092,143.650004
Varela,11,1,A,49.04904904904905,51.751751751751755,-3.999999989900971e-06,130.38999600000002,143.650004
Varela,11,2,A,56.55655655655656,57.65765765765766,-3.999999989900971e-06,130.38999600000002,143.650004
Varela,11,3,A,61.76176176176177,63.26326326326327,-3.999999989900971e-06,130.38999600000002,143.650004
Varela,11,4,B,2.6026026026026026,3.4034034034034035,-3.999999989900971e-06,130.38999600000002,143.650004
Varela,11,5,B,23.923923923923926,27.027027027027028,-3.999999989900971e-06,130.38999600000002,143.650004
Varela,11,6,B,37.13713713713714,40.74074074074074,-3.999999989900971e-06,130.38999600000002,143.650004
Varela,11,7,B,46.84684684684685,48.84884884884885,-3.999999989900971e-06,130.38999600000002,143.650004
Varela,11,8,B,52.052052052052055,53.153153153153156,-3.999999989900971e-06,130.38999600000002,143.650004
Varela,11,9,B,58.45845845845846,59.45945945945946,-3.999999989900971e-06,130.38999600000002,143.650004
Varela,11,10,B,66.66666666666667,67.46746746746747,-3.999999989900971e-06,130.38999600000002,143.650004
Varela,11,11,B,68.56856856856858,70.87087087087087,-3.999999989900971e-06,130.38999600000002,143.650004
Varela,11,12,B,72.27227227227228,75.07507507507508,-3.999999989900971e-06,130.38999600000002,143.650004
Varela,11,13,B,84.58458458458459,85.38538538538539,-3.999999989900971e-06,130.38999600000002,143.650004
Varela,11,14,B,89.98998998999,91.4914914914915,-3.999999989900971e-06,130.38999600000002,143.650004
Varela,11,15,C,1.9019019019019021,10.810810810810812,-3.999999989900971e-06,130.38999600000002,143.650004
Varela,11,16,C,13.413413413413414,16.516516516516518,-3.999999989900971e-06,130.38999600000002,143.650004
Varela,11,17,C,22.322322322322325,31.631631631631635,-3.999999989900971e-06,130.38999600000002,143.650004
Varela,11,18,C,32.632632632632635,33.933933933933936,-3.999999989900971e-06,130.38999600000002,143.650004
Varela,11,19,C,35.73573573573574,56.25625625625626,-3.999999989900971e-06,130.38999600000002,143.650004
Varela,11,20,C,57.95795795795796,84.48448448448448,-3.999999989900971e-06,130.38999600000002,143.650004
Varela,11,21,C,87.8878878878879,88.78878878878879,-3.999999989900971e-06,130.38999600000002,143.650004
Varela,11,22,C,90.5905905905906,92.7927927927928,-3.999999989900971e-06,130.38999600000002,143.650004
Varela,21,1,A,52.852852852852855,53.653653653653656,130.39999600000002,239.039996,143.650004
Varela,21,2,B,52.052052052052055,53.153153153153156,130.39999600000002,239.039996,143.650004
Varela,21,3,B,65.96596596596596,66.76676676676676,130.39999600000002,239.039996,143.650004
Varela,21,4,B,68.56856856856858,73.57357357357358,130.39999600000002,239.039996,143.650004
Varela,21,5,B,88.4884884884885,89.7897897897898,130.39999600000002,239.039996,143.650004
Varela,21,6,C,2.2022022022022023,11.111111111111112,130.39999600000002,239.039996,143.650004
Varela,21,7,C,15.015015015015017,19.71971971971972,130.39999600000002,239.039996,143.650004
Varela,21,8,C,26.426426426426428,31.931931931931935,130.39999600000002,239.039996,143.650004
Varela,21,9,C,39.83983983983984,42.64264264264264,130.39999600000002,239.039996,143.650004
Varela,21,10,C,43.84384384384385,46.04604604604605,130.39999600000002,239.039996,143.650004
Varela,21,11,C,47.14714714714715,74.17417417417418,130.39999600000002,239.039996,143.650004
Varela,21,12,C,74.97497497497498,79.87987987987988,130.39999600000002,239.039996,143.650004
Varela,21,13,C,81.38138138138139,83.18318318318319,130.39999600000002,239.039996,143.650004
Varela,21,14,C,85.28528528528528,87.4874874874875,130.39999600000002,239.039996,143.650004
Varela,21,15,C,88.2882882882883,90.5905905905906,130.39999600000002,239.039996,143.650004
Varela,21,16,C,91.6916916916917,93.1931931931932,130.39999600000002,239.039996,143.650004
