# timestamps [seconds],pts
753911.396724,1471253
753911.420848,1472834
753911.445701,1474463
753911.470221,1476070
753911.493576,1477600
753911.517655,1479179
753911.540435,1480671
753911.561479,1482051
753911.584601,1483566
753911.606595,1485007
753911.631841,1486662
753911.652450,1488012
753911.676139,1489565
753911.701627,1491235
753911.725441,1492796
753911.752256,1494553
753911.773625,1495954
753911.798499,1497584
753911.822724,1499171
753911.846443,1500726
753911.871128,1502343
753911.896651,1504016
753911.924122,1505816
753911.945169,1507196
753911.968593,1508731
753911.992005,1510265
753912.014547,1511742
753912.036210,1513162
753912.061373,1514811
753912.083791,1516280
753912.105697,1517716
753912.129234,1519258
753912.153486,1520848
753912.177916,1522449
753912.201049,1523965
753912.225050,1525538
753912.248389,1527067
753912.271774,1528600
753912.295786,1530173
753912.319605,1531734
753912.342306,1533222
753912.365264,1534727
753912.386523,1536120
753912.409055,1537596
753912.432186,1539112
753912.455702,1540653
753912.477635,1542091
753912.498978,1543490
753912.524867,1545186
753912.547886,1546695
753912.572656,1548318
753912.598641,1550021
753912.626346,1551837
753912.648018,1553257
753912.674214,1554974
753912.693466,1556235
753912.716117,1557720
753912.742166,1559427
753912.766762,1561039
753912.793095,1562764
753912.817304,1564351
753912.843056,1566039
753912.864465,1567442
753912.889587,1569088
753912.917000,1570885
753912.942046,1572526
753912.965815,1574084
753912.989382,1575628
753913.014246,1577258
753913.036996,1578749
753913.061465,1580352
753913.087708,1582072
753913.112365,1583688
753913.138404,1585394
753913.165484,1587169
753913.191782,1588892
753913.214957,1590411
753913.238686,1591966
753913.264034,1593627
753913.307948,1596505
753913.339256,1598557
753913.363808,1600166
753913.387518,1601720
753913.411006,1603259
753913.432681,1604680
753913.453623,1606052
753913.477876,1607642
753913.497975,1608959
753913.522006,1610534
753913.543747,1611958
753913.564018,1613287
753913.587595,1614832
753913.610335,1616322
753913.631990,1617741
753913.655444,1619279
753913.677321,1620712
753913.701924,1622325
753913.724482,1623803
753913.745486,1625179
753913.771465,1626882
753913.794065,1628363
753913.816782,1629852
753913.839846,1631363
753913.862185,1632827
753913.883225,1634206
753913.905025,1635635
753913.927594,1637114
753913.955828,1638964
753913.975988,1640285
753913.996650,1641639
753914.018191,1643051
753914.040106,1644487
753914.058499,1645693
753914.081947,1647229
753914.102236,1648559
753914.125885,1650109
753914.146711,1651474
753914.175554,1653364
